ID|name|x|y
0|City Hall|-8528262.690551654|4763398.362336166
1|Otterbein Church|-8528996.549360868|4762505.411936715
2|McKim Free School|-8527201.01873379|4763469.944705769
3|First Unitarian Church|-8528831.816497322|4764068.15380986
4|Ebenezer A.M.E. Church|-8528775.27379688|4761868.921669319
5|Municipal Museum of Balt (Peale Museum)|-8528187.540390026|4763565.293940611
6|Lovely Lane Methodist Church (First Methodist)|-8528816.662572185|4766830.492942527
7|Lloyd Street Synagogue|-8527206.221120082|4763369.317563742
8|Bethel A.M.E. Church|-8530298.80293117|4765010.465629429
9|Eutaw Place Baptist Church|-8529811.144934015|4765178.38414631
10|Eastern Female High School|-8527241.371367425|4763952.813138574
11|Belvedere Hotel|-8528797.270791683|4765053.867771782
12|Battle Monument|-8528452.931094535|4763393.82909254
13|St. Paul's P.E. Church|-8528735.751728874|4763595.547733754
14|St.Paul's P.E. Church Rectory|-8528895.716578182|4763768.329350479
15|Cylburn House and Park|-8532899.453891035|4772387.173869215
16|Davidge Hall|-8529664.045033822|4762891.395616271
17|Mt.Clare Station & Roundhouse|-8530702.938503485|4762638.1986508
18|Evergreen House|-8529388.70601542|4771787.706671946
19|Old Post Office Building|-8528363.224040769|4763413.391673386
20|Homewood House|-8529175.015174815|4769003.056049272
21|Maryland House|-8532225.670319142|4768244.608330794
22|Baltimore Arts Tower (Bromo Seltzer)|-8529349.800723072|4762974.095409349
23|Mercantile Safe Deposit and Trust Building|-8528403.553069664|4763164.2691059485
24|Star Spangled Banner Flag House|-8527449.561005782|4762946.0012840405
25|Old Town Friends' Meeting House|-8527196.211916476|4763564.783906132
26|Mother Seton House|-8529679.89623521|4764140.051529273
27|Washington Monument and Mount Vernon Place|-8528817.705840942|4764385.8465259
28|Westminister Presbyterian Church|-8529673.071266312|4763295.9972365275
29|Basilica of the Assumption|-8528905.212431027|4763931.951812096
30|H.L. Mencken House|-8531729.72884855|4762940.087006688
31|Shot Tower|-8527675.886370568|4763403.697534382
32|St. Vincent De Paul Church|-8527773.525292838|4763489.189374991
33|Old Cathedral School|-8528868.970338233|4763867.412382044
34|Edgar Allan Poe House|-8530752.441506159|4763481.917834647
35|Thomas-Jencks-Gladding-Hackerman House|-8528855.146386037|4764327.3950717375
36|Clifton Mansion|-8525632.232832655|4767746.157244235
37|Roland Park Shopping Center|-8531032.771756496|4771987.391990006
38|St.Mary's Seminary Chapel|-8529672.673359154|4764144.706453152
39|B'nai Israel Synagogue|-8527189.176681392|4763297.918528944
40|First Baptist Church|-8526763.389597647|4764302.336173572
41|Sharon Baptist Church|-8531704.165667867|4765495.599965893
42|Taylor's Chapel and Burial Ground|-8524548.792106837|4773757.963366389
43|Zion Lutheran Church and Parish House|-8528147.438475216|4763530.841162048
44|Furness House|-8528258.549644861|4763136.007044785
45|Goucher House|-8528744.384823592|4767023.121832132
46|United States Customs House|-8528080.868945606|4763019.243561156
47|Pennsylvania Station|-8528813.571544545|4765798.661094405
48|Ascot House (Razed 1981)|-8529457.733785704|4769990.66902408
49|Babe Ruth House|-8529833.989355566|4762662.094268233
50|War Memorial|-8528026.584900768|4763435.762619168
51|Alexander Brown and Sons|-8528461.816920215|4763217.867063582
52|Baltimore City Courthouse|-8528495.63767408|4763413.82716734
53|Carroll Hunting Lodge|-8535351.912099475|4774092.029013649
54|Continental Trust Building|-8528403.646763813|4763216.567084134
55|Crimea House, Chapel and Stables|-8538077.224498002|4765470.133675896
56|Etting Cemetary|-8531710.168831946|4766212.900209285
57|Gallagher Mansion|-8528339.413959775|4772150.038080201
58|James Lawrence Kernan Hospital|-8539111.940671604|4766777.316834904
59|Leadenhall Baptist Church|-8529015.66460404|4761461.105486773
60|Mount Clare Mansion|-8531853.114676785|4761708.197446689
61|Mount Royal Station and Shed|-8529282.973935919|4765530.86637114
62|Bread of Life Cathedral|-8528985.724361764|4764062.051699869
63|Saint Frances Academy|-8528046.081549713|4765069.856251739
64|Saint Leo's Church|-8527170.684020357|4762903.649526805
65|Saint Peter Claver Church|-8531383.004973307|4765662.221366309
66|Sharp Street United Methodist Church|-8530237.34635364|4764846.670011282
67|Fort McHenry|-8524826.51883168|4759450.833957054
68|G. Krug & Sons|-8529514.88286371|4763678.03467308
69|Hutzler's Palace Building|-8529299.027394427|4763643.68478509
70|Octagon Building, U.S.F & G|-8533177.054786716|4774702.206054553
71|Mount Auburn Cemetary|-8531388.818768207|4758845.422537647
72|Booker T. Washington Jr. High School|-8530165.644812565|4765221.820469759
73|Walters Bath House and Engine House #10|-8530545.111785578|4762299.396209434
74|Warden's House -Baltimore City Jail|-8528160.333732529|4764545.615816861
75|Robert Long House|-8526110.260053752|4762176.765276171
76|Greenway Cottages|-8530519.203998849|4770108.550788581
77|1124-1126 Riverside Avenue|-8528081.273710925|4761384.179657705
78|Provident Bank of Maryland|-8529282.017375607|4763690.64638716
79|Southern Hotel|-8528550.452952622|4763159.382990889
80|Macht Building|-8528689.235782934|4763334.846665949
81|Old Federal Reserve Bank|-8528482.911744058|4763485.8749638945
82|Chamber of Commerce Building|-8528172.480096979|4763135.888020955
83|Old Saint Paul's Cemetary|-8530108.46476872|4762988.198335208
84|Wooden Houses|-8525975.915791202|4762485.519054256
85|Pascault Row|-8529984.81567135|4763459.867406882
86|The Baltimore Museum of Art & Spring House|-8529225.073243164|4768422.1452405825
87|Hutzler's Tower Building|-8529274.369893905|4763634.40824189
88|Johns Hopkins University, Gilman Hall|-8529354.516277835|4769137.514168553
89|The D'alesandro House|-8527319.460885324|4762757.913309634
90|St. Joseph's Passionist Monastery|-8535930.963539489|4762293.710355282
91|Orchard Street Church|-8529746.592274902|4764388.108850867
92|Douglass Memorial Community Church|-8530150.971397597|4765303.360433064
93|Buena Vista|-8534539.313428665|4765817.248009227
94|George Howard House|-8528745.905002961|4764562.541050933
95|Charles Theater|-8528869.741804773|4766062.113247253
96|Saint Katherine of Alexandria Protestant Episcopal|-8531121.83103333|4765734.999265872
97|Hecht Company Building|-8529291.652656654|4763559.09502539
98|Congress Hotel|-8529343.617413715|4764034.63649746
99|Carlton Street Stables|-8531071.955403218|4762748.789571598
100|Patterson Theater|-8523927.01046293|4762813.79603523
101|Standard Oil Building|-8528559.970254498|4764084.691189319
102|Friends Burial Ground|-8526519.21988823|4767354.207136102
103|Northern District Police Station|-8530140.966445835|4768836.177912898
104|Samuel Coleridge Taylor Elementary School No. 122|-8530013.841464857|4764549.121318527
105|Grace Hampden Methodist Church|-8530803.967171952|4769238.160477772
106|DuVal/Hirschhorn House|-8530899.38310926|4774918.811136104
107|Patricia Grace Thomas Inn|-8537894.590075495|4762101.383434892
108|Engine House No. 6|-8527685.479134174|4764053.1962143555
109|Senator Theatre|-8528212.392854769|4773869.355840452
110|Scottish Rite Temple|-8529156.127015028|4769799.326918274
111|Saint Matthew United Church of Christ|-8524744.48448174|4768652.931141287
112|Union Baptist Church|-8530183.115183264|4764993.0956202
113|Dr. John E.T. Camper House|-8531340.177088289|4764229.513163328
114|Ruscombe Mansion|-8533424.78686607|4771879.826130293
115|Christ Church United Church of Christ|-8526376.121477768|4760757.158084407
116|Johnny Eck House|-8525124.981450649|4764479.385540597
117|Baltimore City College|-8526750.589358656|4768472.2094824165
118|New Life Missisonary Baptist Church|-8526707.233477242|4766283.846678689
119|Cedarwood|-8529809.94880026|4771967.593992233
120|Masjid Al Haqq|-8530758.510652566|4765457.385732204
121|Fire Engine Company No. 25|-8531153.89611904|4766080.835490495
122|Arch Social Club|-8531802.626530325|4766136.3002131805
123|Douglass Place|-8526644.538917538|4762548.000869378
124|Divine Mission Apostolic Church|-8532074.140952874|4763070.512122743
125|Weaver House|-8523787.51690851|4770249.464057513
126|First English Lutheran Church|-8529043.70040135|4769840.9653368
127|Cherry Hill Elementary School #159|-8529722.390605394|4757180.973687626
128|Schwing Motor Company Building|-8530205.165214296|4768744.120160662
129|The Mount|-8536066.080989601|4765977.149571307
130|Riverside Park|-8527956.64778311|4760462.264826588
131|Ameican Brewery|-8525617.338632908|4766100.822567627
132|Upton Mansion|-8530740.158917721|4764463.947751872
133|Roland Park Water Tower|-8530964.059071533|4770663.95161441
134|W.E.B. DuBois House|-8524810.081418984|4771768.7781736925
135|Bolton Square|-8530027.113303548|4765576.052276775
136|Castalia|-8529571.456128052|4770357.590591721
137|St. Stanislaus Kostka Church|-8526130.993746366|4762320.065350935
138|Four Bay House|-8526172.291680196|4762357.007403478
139|St. Mark’s Evangelical Lutheran Church|-8528773.773135116|4766458.650066629
140|Dr. Giering House|-8523448.996261215|4769085.689862177
141|Harford Commons (William Fuld Company)|-8527188.126564333|4765874.0431572795
142|Melvin Cade Armory|-8533746.204146074|4765032.572037563
143|Nazarene Baptist Church|-8527275.647108529|4765339.094950691
144|Mount Calvary Church|-8529498.488309221|4764657.869013593
145|Saint Paul Community Baptist Church|-8526101.76696804|4765961.8145924285
146|Raffel Building|-8528900.619778682|4760446.748226427
147|Ann Wiggins Brown House|-8531753.813347425|4765491.859620057
148|Kresge Building|-8529055.97465015|4763496.047811262
149|Sellers Mansion|-8531020.1121036|4764469.540210471
150|Latrobe Pavilion|-8531227.670586545|4767623.319547959
151|Council Grove Pavilion|-8532632.351660516|4767995.158981316
152|Conservatory|-8532167.008591611|4767411.74237892
153|Chinese Pavilion|-8531810.81280313|4767173.698484808
154|Apostolic Faith Church of God|-8532570.545802644|4766265.321341708
155|Archway over Madison St Entrance|-8531569.782620996|4766925.5054984465
156|Mansion House|-8532316.237301992|4768111.1904464215
157|Boat House|-8532375.374259163|4767799.372791782
158|Chess & Checkers Pavilion|-8531737.82092673|4767272.589497283
159|Octagonal Pavilion|-8531933.85695495|4768409.282045744
160|Unnamed Pavilion #1|-8532617.601140654|4767686.368026301
161|Unnamed Pavilion #2|-8532440.647133118|4767926.142208777
162|Unnamed Pavilion #4|-8531795.934051566|4767758.746059321
163|Unnamed Pavilion #5|-8531545.940729583|4767638.963131838
164|Unnamed Pavilion #3|-8532327.76575812|4768180.732757196
165|President Street Station|-8527346.175077371|4762432.323878773
